id,contract_id,service_category_id,sla_policy_id,line_no,description,scope_notes,uom,quantity,frequency,unit_rate,monthly_amount,annual_amount,active,created_at,updated_at
ed082839-a491-46be-82ce-ab27e818dc36,8c154c7b-8f46-4926-b810-368d8953c322,78f25dc4-8600-4359-8bc0-d4cc2ec0264a,,1,Team Leader,Manpower | Cleaning cost,Month,1,,4100,4100,49200,t,2026-08-15 11:07:09.551543+00,2026-08-15 11:07:09.551543+00
5db2e24d-8104-4b33-9ada-a8793aa14daf,8c154c7b-8f46-4926-b810-368d8953c322,78f25dc4-8600-4359-8bc0-d4cc2ec0264a,,2,Male Cleaner,Manpower | Cleaning cost,Month,3,,3600,10800,129600,t,2026-08-15 11:07:09.551543+00,2026-08-15 11:07:09.551543+00
d7a5bb84-500f-4760-a3a6-e0efe6a77f11,8c154c7b-8f46-4926-b810-368d8953c322,78f25dc4-8600-4359-8bc0-d4cc2ec0264a,,3,Female Cleaner,Manpower | Cleaning cost,Month,1,,4100,4100,49200,t,2026-08-15 11:07:09.551543+00,2026-08-15 11:07:09.551543+00
c5d4a9bf-444e-43ba-9914-c748646e52f8,8c154c7b-8f46-4926-b810-368d8953c322,78f25dc4-8600-4359-8bc0-d4cc2ec0264a,,4,"Cleaning chemicals, tools, machinery & equipment",Tools / Equipment / Chemicals | Cleaning tools and machinery provision,Month,1,,4000,4000,48000,t,2026-08-15 11:07:09.551543+00,2026-08-15 11:07:09.551543+00
0e8b6864-8274-4c3a-84bc-e5f6b1e2e357,8c154c7b-8f46-4926-b810-368d8953c322,78f25dc4-8600-4359-8bc0-d4cc2ec0264a,,5,Consumables including air fresheners & water in the gym,Consumables | Cleaning consumables,Month,1,,1550,1550,18600,t,2026-08-15 11:07:09.551543+00,2026-08-15 11:07:09.551543+00
d9b25780-9621-4c91-81cb-c993c672f76a,8c154c7b-8f46-4926-b810-368d8953c322,c36728e7-b04a-43ff-b88c-f6b3ba84ef3f,,6,Supervisor,Manpower | MEP & HVAC,Month,1,,8000,8000,96000,t,2026-08-15 11:07:09.551543+00,2026-08-15 11:07:09.551543+00
e2ee83ed-abc0-40e8-ae0d-34e6ca73e5b2,8c154c7b-8f46-4926-b810-368d8953c322,c36728e7-b04a-43ff-b88c-f6b3ba84ef3f,,7,HVAC Technician,Manpower | MEP & HVAC,Month,1,,5500,5500,66000,t,2026-08-15 11:07:09.551543+00,2026-08-15 11:07:09.551543+00
0a98c85f-6d71-482f-9f00-a917389dc601,8c154c7b-8f46-4926-b810-368d8953c322,c36728e7-b04a-43ff-b88c-f6b3ba84ef3f,,8,Electrician,Manpower | MEP & HVAC,Month,1,,5500,5500,66000,t,2026-08-15 11:07:09.551543+00,2026-08-15 11:07:09.551543+00
c47a5d50-f9b8-46dc-8c49-ece8817c5521,8c154c7b-8f46-4926-b810-368d8953c322,c36728e7-b04a-43ff-b88c-f6b3ba84ef3f,,9,Plumber,Manpower | MEP & HVAC,Month,1,,5500,5500,66000,t,2026-08-15 11:07:09.551543+00,2026-08-15 11:07:09.551543+00
288fbb82-3264-448f-89d9-afaf825287ec,8c154c7b-8f46-4926-b810-368d8953c322,c36728e7-b04a-43ff-b88c-f6b3ba84ef3f,,10,Multi Technician,Manpower | Annual value normalized as monthly x 12; contract text appears typo-like.,Month,1,,6000,6000,72000,t,2026-08-15 11:07:09.551543+00,2026-08-15 11:07:09.551543+00
628eb0d9-94c5-40d6-ae30-f71617ede6e8,8c154c7b-8f46-4926-b810-368d8953c322,c36728e7-b04a-43ff-b88c-f6b3ba84ef3f,,11,Threshold MEP & HVAC,Threshold | MEP & HVAC threshold,Month,1,,1000,1000,12000,t,2026-08-15 11:07:09.551543+00,2026-08-15 11:07:09.551543+00
01c3dc71-a61f-4626-8a43-4aeb38625d1c,8c154c7b-8f46-4926-b810-368d8953c322,c36728e7-b04a-43ff-b88c-f6b3ba84ef3f,,12,Tools & equipment,Tools / Equipment | MEP tools and equipment,Month,1,,1000,1000,12000,t,2026-08-15 11:07:09.551543+00,2026-08-15 11:07:09.551543+00
024140c6-659a-4bf9-89ce-234dee462196,8c154c7b-8f46-4926-b810-368d8953c322,c36728e7-b04a-43ff-b88c-f6b3ba84ef3f,,13,Consumables,Consumables | MEP consumables,Month,1,,167,167,2004,t,2026-08-15 11:07:09.551543+00,2026-08-15 11:07:09.551543+00
