id,quote_id,description,quantity,unit_price,amount,sort_order,created_at,updated_at
08e5b283-1025-4c82-a089-425b9b07793b,ba211705-96c7-4bfa-ab80-f61f7f8d3cf5,"Planned Preventive Maintenance services as follows: 1. AC - 4 Times/Year 2. Fixed Electrical Fittings - 3 Times/year 3. Plumbing Units - 3 Times/year 4. Solar Water Heater - 2 Times/year 5. AC Duct Cleaning - 1 Time/year 6. Minor Masonry Works - included 7. Minor Carpentry Works (Fixed wood, no loose furniture) - included 8. Handyman Callouts (Manpower only) - 30 visits/year Maximum of 3Hrs/visit (Included) 9. Emergency Callouts - 24/7 ",1,5250,5250,0,2026-07-22 05:17:39.690952+00,2026-07-22 05:17:39.690952+00
a90806f8-0421-4137-90ed-e2e98cf240d8,3ff4124d-f18f-4013-91f4-ce26444ec948,Hall area. Ground floor &. 1st floor. 1.Supply and installation of 60x60 tiles hall area including grouting. (Glue mapi),250,70,17500,0,2026-07-23 05:13:57.677605+00,2026-07-23 05:13:57.677605+00
d2ac099f-f7c2-4188-9809-7250fb9709c4,3ff4124d-f18f-4013-91f4-ce26444ec948,Supply and installation of skirting at hall wall area.,32,27.575,882.4,1,2026-07-23 05:13:57.677605+00,2026-07-23 05:13:57.677605+00
4a9b3b10-dcf6-47e5-9bea-f87e0ec4d2ce,3ff4124d-f18f-4013-91f4-ce26444ec948,Supply and installation of 60x60tiles at stair case area.,95,70,6650,2,2026-07-23 05:13:57.677605+00,2026-07-23 05:13:57.677605+00
83a8c232-2493-4a5e-8302-df95d7baceef,3ff4124d-f18f-4013-91f4-ce26444ec948,Supply and installation of skirting.,26,27.575,716.95,3,2026-07-23 05:13:57.677605+00,2026-07-23 05:13:57.677605+00
d4cc23a6-c95f-4fe0-977b-786ea6bc976b,3ff4124d-f18f-4013-91f4-ce26444ec948,Supply and installation 60x 60 of tiles at passage area ground floor and 1st floor and Dining area kitchen passage.,330,70,23100,4,2026-07-23 05:13:57.677605+00,2026-07-23 05:13:57.677605+00
8ea3476a-5d24-4c00-9431-ad672fb7eeec,3ff4124d-f18f-4013-91f4-ce26444ec948,Supply and installation of skirting. ,218,27.575,6011.35,5,2026-07-23 05:13:57.677605+00,2026-07-23 05:13:57.677605+00
bf091be0-7f61-4ba8-8ea1-47674c40079c,3ff4124d-f18f-4013-91f4-ce26444ec948,"Painting works. Supply and apply paint at the cealing and wall Location:- Dining area, kitchen staircase area. Crack filling and apply 2 coat national high quality paint at wall and cealing. ",1,11016,11016,6,2026-07-23 05:13:57.677605+00,2026-07-23 05:13:57.677605+00
d47278c0-4633-403f-8669-4f656ae57be2,3ff4124d-f18f-4013-91f4-ce26444ec948,Wash basin mixer tap replacement.,4,196.8,787.2,7,2026-07-23 05:13:57.677605+00,2026-07-23 05:13:57.677605+00
65bf32fc-7050-4308-90aa-c92fbdae1867,3ff4124d-f18f-4013-91f4-ce26444ec948,Supply and installation of bottle trap (PVC),4,57.6,230.4,8,2026-07-23 05:13:57.677605+00,2026-07-23 05:13:57.677605+00
e53f0f3f-65a7-4cf7-ada7-1ee8d79524ec,3ff4124d-f18f-4013-91f4-ce26444ec948,Supply and installation of bathroom cealing and washing area 60x60 gypsum tiles. ,14,110,1540,9,2026-07-23 05:13:57.677605+00,2026-07-23 05:13:57.677605+00
83caf394-12ff-4766-9e07-e53e873151e7,3ff4124d-f18f-4013-91f4-ce26444ec948,Supply and installation of mirror at Wash Area ( Size-1450x1150),2,1440,2880,10,2026-07-23 05:13:57.677605+00,2026-07-23 05:13:57.677605+00
874be22c-4a88-4557-b016-e7cd97cd6a46,3ff4124d-f18f-4013-91f4-ce26444ec948,Supply and installation of mirror at bathroom ( Size-600x800),1,900,900,11,2026-07-23 05:13:57.677605+00,2026-07-23 05:13:57.677605+00
0ee18a5a-b1ca-4ff5-98eb-6c75334f7ba7,3ff4124d-f18f-4013-91f4-ce26444ec948,Kitchen cupboard removal ,1,500,500,12,2026-07-23 05:13:57.677605+00,2026-07-23 05:13:57.677605+00
33fbc4be-cf51-40b6-80d8-ed3142dca767,3ff4124d-f18f-4013-91f4-ce26444ec948,Bathroom window rectification.,1,144,144,13,2026-07-23 05:13:57.677605+00,2026-07-23 05:13:57.677605+00
ea9cbead-cda2-454a-b86d-58c6a7ddc27b,3ff4124d-f18f-4013-91f4-ce26444ec948,Supply and installation of floor trap cover  ,3,116.8,350.4,14,2026-07-23 05:13:57.677605+00,2026-07-23 05:13:57.677605+00
d6736d1e-d334-4b77-b55a-af4d10c83581,3ff4124d-f18f-4013-91f4-ce26444ec948,Supply and installation of new cealing at kitchen ,28,110,3080,15,2026-07-23 05:13:57.677605+00,2026-07-23 05:13:57.677605+00
b2f1da3e-7f7e-4971-80b7-d0e6465d152d,3ff4124d-f18f-4013-91f4-ce26444ec948,Kitchen door replacement  Removing of existing door and installation of aluminium door with inside sheet (2 nos),2,2000,4000,16,2026-07-23 05:13:57.677605+00,2026-07-23 05:13:57.677605+00
17cc6174-30b4-42ab-8de4-24061b80fec1,3ff4124d-f18f-4013-91f4-ce26444ec948,"Manufacture, Supply and installation of kitchen bottom cabinet, carcass and door made by Water proof Melamine Mdf with Lipping finish  (Size: 4120+2160 x 600x900 ht)  Manufacture, Supply and installation of kitchen top cabinet,arcass and door made by Water proof Melamine Mdf with Lipping finish. (Size: 2160x35x600 ht)",1,15192,15192,17,2026-07-23 05:13:57.677605+00,2026-07-23 05:13:57.677605+00
