id,zoho_quote_id,quote_number,quote_date,expiry_date,customer_name,zoho_customer_id,status,currency,subtotal,total,subject,salesperson,project_name,purchase_order,notes,terms,created_at,updated_at,quote_type,vat_amount,probability
eab7d257-4417-4833-b808-e8b2d27f6185,5159298000002735001,FF-AMC26-33,2026-07-16,2026-07-23,UBM OWNERS ASSOCIATION MANAGEMENT SERVICES LLC,5159298000002741013,Won & Activated,AED,1093164,1147822.2,"AMC FOR MEP, CLEANING, SWIMMING POOL & LIFT MAINTENANCE SERVICES - 48PARKSIDE (15th June 2026 - 14th June 2027)",,,,"Refer to the signed Service agreement for the following:
1. Scope of Work,
2. Contract Duration
3. Response time & Service availability
4. Termination clause & Suspension
5. Governing Law & Dispute Resolution
6. Exclusions:
The following are not covered under this AMC unless specified otherwise:
6.1 Damage due to mishandling, accidents, natural calamities, or unauthorized modifications.
6.2 Replacement of parts/components unless covered under the contract.","1. General terms:
1.1 All services shall be performed professionally and in accordance with industry standards.
1.2 Any modifications to the AMC terms must be agreed upon in writing.
2. Payment Terms:
30 days from the submission of monthly invoice.
3. This quotation does not include:
3.1 Approvals or permits from regulatory authorities (if applicable).
3.2 Any items not explicitly mentioned in the scope of work.

Account details 
RAK BANK
FIZ FIX TECHNICAL SERVICES LLC
Account Number: 0553684174001
IBAN: AE920400000553684174001
Swift Code: NRAKAEAK

",2026-07-16T00:00:00+00:00,2026-07-24T15:04:56.733144+00:00,,,
c703fdbf-b4cf-4b0f-9849-05635e14320d,5159298000002402001,FF-AMC26-07,2026-03-09,2026-03-24,JACOB ABRAHAM,5159298000001131403,invoiced,AED,3900,4095,AMC PROPOSAL-3BR- (10th MAR 2026 - 9th MAR 2027),,,,"Refer to the signed Service agreement for the following: 
1. Scope of Work, 
2. Contract Duration
3. Response time & Service availability
4. Termination clause & Suspension
5. Governing Law & Dispute Resolution
6. Exclusions:
The following are not covered under this AMC unless specified otherwise:
6.1 Damage due to mishandling, accidents, natural calamities, or unauthorized modifications.
6.2 Replacement of parts/components unless covered under the contract.","1. General terms:
1.1 All services shall be performed professionally and in accordance with industry standards.
1.2 Any modifications to the AMC terms must be agreed upon in writing.
2. Payment Terms:
Advance for every quarter, within 7 days from the date of invoice.
3. This quotation does not include:
3.1 Approvals or permits from regulatory authorities (if applicable).
3.2 Any items not explicitly mentioned in the scope of work.
4. Contact Information:
For Technical clarification or assistance, please contact Texan- 0554254818 or Email: info@fizfix.com 
",2026-03-09T00:00:00+00:00,2026-07-23T05:47:15.418184+00:00,,,
ba211705-96c7-4bfa-ab80-f61f7f8d3cf5,,FF-AMC26-34,2026-07-22,2026-08-22,Rami - Villanova V-366,,sent,AED,5250,5512.5,Villa AMC - Rami - Villanova V-366,Devika,N/A ,,"Refer to the signed Service agreement for the following:
1. Scope of Work,
2. Contract Duration
3. Response time & Service availability
4. Termination clause & Suspension
5. Governing Law & Dispute Resolution
6. Exclusions:
The following are not covered under this AMC unless specified otherwise:
6.1 Damage due to mishandling, accidents, natural calamities, or unauthorized modifications.
6.2 Replacement of parts/components unless covered under the contract.","Terms and Conditions
1. General terms:
1.1 All services shall be performed professionally and in accordance with industry standards.
1.2 Any modifications to the AMC terms must be agreed upon in writing.
2. Payment Terms:
Advance for every quarter, within 7 days from the date of invoice.
3. This quotation does not include:
3.1 Approvals or permits from regulatory authorities (if applicable).
3.2 Any items not explicitly mentioned in the scope of work.
4. Contact Information:
For Technical clarification or assistance, please contact Texan- 0554254818 or Email: info@fizfix.com",2026-07-22T00:00:00+00:00,2026-07-24T15:06:34.67931+00:00,Villa AMC,262.5,Assured
d1c3b244-b055-48df-b8bd-5f492b582b6f,5159298000002725053,FF-VAR26-167 (Rev.01),2026-07-17,2026-07-31,Kaizen Procurement,5159298000002693018,sent,AED,1114005,1169705.25,Rectification work- Supply & Installation of External Bollar. ,,,,"NOTE: VAT 5% will be applicable

1. Scope of Work:
This quotation covers only the items and services explicitly mentioned. Any additional work or material requirements will be quoted separately.
2. Validity:
This quotation is valid for 15 days from the date of issuance. Prices and availability of materials are subject to change beyond this period.
3. Delivery & Execution Timeline:
Work will commence within 1-2 days from receipt of the LPO/ advance payment/signed confirmation. 
4. Exclusions:
This quotation does not include:
4.1 Approvals or permits from regulatory authorities (if applicable).
4.2 Any items not explicitly mentioned in the scope of work.
5. Site Conditions:
It is assumed that the site will be accessible and ready for installation on the agreed start date. Any delays caused by site inaccessibility or unprepared conditions may incur additional charges.
6. Force Majeure:
The company will not be held liable for delays caused by events beyond our control, such as natural disasters, strikes, or supply chain disruptions.
7. Contact Information:
For Technical clarification or assistance, please contact Texan- 0554254818 or Email: info@fizfix.com","1) 1-year warranty for workmanship. 
2) 6-year warranty against manufacturing defects and corrosion.

All necessary permits & permissions to be issued by client.
Payment Terms:
1. 50% advance + 50% upon completion.

Account details 
RAK BANK
FIZ FIX TECHNICAL SERVICES LLC
Account Number: 0553684174001
IBAN: AE920400000553684174001
Swift Code: NRAKAEAK

",2026-07-17T00:00:00+00:00,2026-07-24T15:06:49.57216+00:00,,,Assured
f9cd39b7-7c26-4573-b08d-b8e9fc5cbed2,5159298000002756001,FF-VAR26-172,2026-07-20,2026-08-05,GHADEER AL TEAR REAL ESTATE,5159298000000087077,Proposal / Quote Sent,AED,450,472.5,Leakage Rectification work ,,,,"NOTE: VAT 5% will be applicable

1. Scope of Work:
This quotation covers only the items and services explicitly mentioned. Any additional work or material requirements will be quoted separately.
2. Validity:
This quotation is valid for 15 days from the date of issuance. Prices and availability of materials are subject to change beyond this period.
3. Delivery & Execution Timeline:
Work will commence within 1-2 days from receipt of the LPO/ advance payment/signed confirmation. 
4. Exclusions:
This quotation does not include:
4.1 Approvals or permits from regulatory authorities (if applicable).
4.2 Any items not explicitly mentioned in the scope of work.
5. Site Conditions:
It is assumed that the site will be accessible and ready for installation on the agreed start date. Any delays caused by site inaccessibility or unprepared conditions may incur additional charges.
6. Force Majeure:
The company will not be held liable for delays caused by events beyond our control, such as natural disasters, strikes, or supply chain disruptions.
7. Contact Information:
For Technical clarification or assistance, please contact Texan- 0554254818 or Email: info@fizfix.com","All necessary permits & permissions to be issued by client.
Payment Terms:
1. 50% advance + 50% upon completion.

Account details 
RAK BANK
FIZ FIX TECHNICAL SERVICES LLC
Account Number: 0553684174001
IBAN: AE920400000553684174001
Swift Code: NRAKAEAK

",2026-07-20T00:00:00+00:00,2026-07-27T09:46:43.411716+00:00,,,
71db54b4-b376-4c75-ae14-377baf0e4f25,5159298000002732103,FF-VAR26-166,2026-07-17,2026-07-31,Kaizen Procurement,5159298000002693018,Proposal / Quote Sent,AED,134511.9,141237.5,Rectification work,,,,"NOTE: VAT 5% will be applicable

1. Scope of Work:
This quotation covers only the items and services explicitly mentioned. Any additional work or material requirements will be quoted separately.
2. Validity:
This quotation is valid for 15 days from the date of issuance. Prices and availability of materials are subject to change beyond this period.
3. Delivery & Execution Timeline:
Work will commence within 1-2 days from receipt of the LPO/ advance payment/signed confirmation. 
4. Exclusions:
This quotation does not include:
4.1 Approvals or permits from regulatory authorities (if applicable).
4.2 Any items not explicitly mentioned in the scope of work.
5. Site Conditions:
It is assumed that the site will be accessible and ready for installation on the agreed start date. Any delays caused by site inaccessibility or unprepared conditions may incur additional charges.
6. Force Majeure:
The company will not be held liable for delays caused by events beyond our control, such as natural disasters, strikes, or supply chain disruptions.
7. Contact Information:
For Technical clarification or assistance, please contact Texan- 0554254818 or Email: info@fizfix.com","All necessary permits & permissions to be issued by client.
Payment Terms:
1. 50% advance + 50% upon completion.

Account details 
RAK BANK
FIZ FIX TECHNICAL SERVICES LLC
Account Number: 0553684174001
IBAN: AE920400000553684174001
Swift Code: NRAKAEAK

",2026-07-17T00:00:00+00:00,2026-07-27T09:47:04.650218+00:00,,,
b0d73f21-7a93-4ada-b3dc-d853e3ed5450,5159298000002686015,FF-VAR26-158,2026-07-02,2026-07-11,RAMI GHARZEDDINE,5159298000002504322,Proposal / Quote Sent,AED,1100,1155,Rectification work ,,,,"NOTE: VAT 5% will be applicable

1. Scope of Work:
This quotation covers only the items and services explicitly mentioned. Any additional work or material requirements will be quoted separately.
2. Validity:
This quotation is valid for 15 days from the date of issuance. Prices and availability of materials are subject to change beyond this period.
3. Delivery & Execution Timeline:
Work will commence within 1-2 days from receipt of the LPO/ advance payment/signed confirmation. 
4. Exclusions:
This quotation does not include:
4.1 Approvals or permits from regulatory authorities (if applicable).
4.2 Any items not explicitly mentioned in the scope of work.
5. Site Conditions:
It is assumed that the site will be accessible and ready for installation on the agreed start date. Any delays caused by site inaccessibility or unprepared conditions may incur additional charges.
6. Force Majeure:
The company will not be held liable for delays caused by events beyond our control, such as natural disasters, strikes, or supply chain disruptions.
7. Contact Information:
For Technical clarification or assistance, please contact Texan- 0554254818 or Email: info@fizfix.com","All necessary permits & permissions to be issued by client.
Payment Terms:
1. 50% advance + 50% upon completion.

Bank Account details
Account Title: FIZ FIXTECHNICAL SERVICES LLC 
Account Number: 12792802920001
Currency: AED
IBAN: AE280030012792802920001
Swift Code: ADCBAEAA",2026-07-02T00:00:00+00:00,2026-07-27T09:47:13.128404+00:00,,,
5309050c-eac2-4c9b-b31f-bce0b2dcf794,5159298000002402250,FF-AMC26-12,2026-03-09,2026-03-24,Mr. FIROZ N BASHEER,5159298000001124029,invoiced,AED,3900,4095,"AMC PROPOSAL-3BR- (10th MAR 2026 - 9th MAR 2027)
",,,,"Refer to the signed Service agreement for the following: 
1. Scope of Work, 
2. Contract Duration
3. Response time & Service availability
4. Termination clause & Suspension
5. Governing Law & Dispute Resolution
6. Exclusions:
The following are not covered under this AMC unless specified otherwise:
6.1 Damage due to mishandling, accidents, natural calamities, or unauthorized modifications.
6.2 Replacement of parts/components unless covered under the contract.","1. General terms:
1.1 All services shall be performed professionally and in accordance with industry standards.
1.2 Any modifications to the AMC terms must be agreed upon in writing.
2. Payment Terms:
Advance for every quarter, within 7 days from the date of invoice.
3. This quotation does not include:
3.1 Approvals or permits from regulatory authorities (if applicable).
3.2 Any items not explicitly mentioned in the scope of work.
4. Contact Information:
For Technical clarification or assistance, please contact Texan- 0554254818 or Email: info@fizfix.com",2026-03-09T00:00:00+00:00,2026-07-23T05:47:15.418184+00:00,,,
c66f0de9-ed98-4ec3-8738-bcb58cad4221,5159298000002487072,FF-VAR26-126,2026-05-04,2026-05-19,KHIDMAH SOLE PROPRIETORSHIP LLC,5159298000002370343,expired,AED,7460,7833,Proposal for Supply and replacement of Pressure vessel tank ,,,,"NOTE: This quotation includes only pressure vessel replacement.
Any additional materials or repairs identified during execution will be charged separately upon client approval.
Disposal of old pressure tanks is not included.
If client requests scrap removal, an additional AED 500 will be charged.
Work will be carried out following standard safety procedures.
Shutdown and access to the work area to be arranged by the client.
Warranty:
All supplied pressure vessels will carry a 1-year warranty against manufacturing defects.




1. Scope of Work:
This quotation covers only the items and services explicitly mentioned. Any additional work or material requirements will be quoted separately.
2. Validity:
This quotation is valid for 15 days from the date of issuance. Prices and availability of materials are subject to change beyond this period.
3. Delivery & Execution Timeline:
Work will commence within 1-2 days from receipt of the LPO/ advance payment/signed confirmation. 
4. Exclusions:
This quotation does not include:
4.1 Approvals or permits from regulatory authorities (if applicable).
4.2 Any items not explicitly mentioned in the scope of work.
5. Site Conditions:
It is assumed that the site will be accessible and ready for installation on the agreed start date. Any delays caused by site inaccessibility or unprepared conditions may incur additional charges.
6. Force Majeure:
The company will not be held liable for delays caused by events beyond our control, such as natural disasters, strikes, or supply chain disruptions.
7. Contact Information:
For Technical clarification or assistance, please contact Texan- 0554254818 or Email: info@fizfix.com","All necessary permits & permissions to be issued by client.
Payment Terms:
1. 50% advance + 50% upon completion.

Bank Account details
Account Title: FIZ FIXTECHNICAL SERVICES LLC 
Account Number: 12792802920001
Currency: AED
IBAN: AE280030012792802920001
Swift Code: ADCBAEAA",2026-05-04T00:00:00+00:00,2026-07-23T05:47:15.418184+00:00,,,
6360e5a7-5593-4d9a-af5a-62bfdff2028b,5159298000002487089,FF-VAR26-127,2026-05-05,2026-05-20,Ms. SUMA SATISH,5159298000000088675,expired,AED,20097.5,21102.38,Proposal for rectification works,,,,"NOTE: During guest toilet breaking works, high-noise equipment (jackhammer approx. 120 dB) will be used. Temporary noise disturbance is expected.
While removing wash basin marble counters, if damage occurs, replacement marble will be supplied by the client at their own cost.
After marble removal, if minor leakage is found, rectification will be carried out. Any major repair or additional work will be quoted separately.

1. Scope of Work:
This quotation covers only the items and services explicitly mentioned. Any additional work or material requirements will be quoted separately.
2. Validity:
This quotation is valid for 15 days from the date of issuance. Prices and availability of materials are subject to change beyond this period.
3. Delivery & Execution Timeline:
Work will commence within 1-2 days from receipt of the LPO/ advance payment/signed confirmation. 
4. Exclusions:
This quotation does not include:
4.1 Approvals or permits from regulatory authorities (if applicable).
4.2 Any items not explicitly mentioned in the scope of work.
5. Site Conditions:
It is assumed that the site will be accessible and ready for installation on the agreed start date. Any delays caused by site inaccessibility or unprepared conditions may incur additional charges.
6. Force Majeure:
The company will not be held liable for delays caused by events beyond our control, such as natural disasters, strikes, or supply chain disruptions.
7. Contact Information:
For Technical clarification or assistance, please contact Texan- 0554254818 or Email: info@fizfix.com","All necessary permits & permissions to be issued by client.
Payment Terms:
1. 50% advance payment upon confirmation of order.
2. 25% Progressive payment upon 50% work completion.
3. Balance 25% to be paid upon completion of work.

Bank Account details
Account Title: FIZ FIXTECHNICAL SERVICES LLC 
Account Number: 12792802920001
Currency: AED
IBAN: AE280030012792802920001
Swift Code: ADCBAEAA",2026-05-05T00:00:00+00:00,2026-07-23T05:47:15.418184+00:00,,,
